runId,testCaseId,suite,agentName,adapter,provider,model,status,score,durationMs,totalAssertions,failedAssertions,requiredFailed,cost,totalTokens,runDir
pilot-2026-06-10,abs-module-cache-flags,,claude-code,,anthropic,claude-haiku-4-5-20251001,failed,0,783232,0,0,0,5.6114508,3560747,/Users/milkoslavov/workspace/harness-bench/.harness-evals/runs/abs-module-cache-flags-claude-code-2026-06-10T19-56-10-149Z-24
pilot-2026-06-10,abs-module-cache-flags,,pi,,openai-codex,gpt-5.5,failed,0,323929,0,0,0,0.66809,623285,/Users/milkoslavov/workspace/harness-bench/.harness-evals/runs/abs-module-cache-flags-pi-2026-06-10T22-21-16-748Z-8
pilot-2026-06-10,bandit-structured-nosec-directives,,claude-code,,anthropic,claude-haiku-4-5-20251001,failed,0,1049527,0,0,0,10.440070499999997,5725034,/Users/milkoslavov/workspace/harness-bench/.harness-evals/runs/bandit-structured-nosec-directives-claude-code-2026-06-10T18-59-31-410Z-14
pilot-2026-06-10,bandit-structured-nosec-directives,,pi,,openai-codex,gpt-5.5,failed,0,1006654,0,0,0,5.02261,6264833,/Users/milkoslavov/workspace/harness-bench/.harness-evals/runs/bandit-structured-nosec-directives-pi-2026-06-10T19-03-46-977Z-15
pilot-2026-06-10,dasel-html-document-format,,claude-code,,anthropic,claude-haiku-4-5-20251001,failed,0,570733,0,0,0,3.8509653,2667591,/Users/milkoslavov/workspace/harness-bench/.harness-evals/runs/dasel-html-document-format-claude-code-2026-06-10T20-15-14-638Z-28
pilot-2026-06-10,dasel-html-document-format,,pi,,openai-codex,gpt-5.5,failed,0,351490,0,0,0,0.7708480000000001,728327,/Users/milkoslavov/workspace/harness-bench/.harness-evals/runs/dasel-html-document-format-pi-2026-06-10T20-24-45-376Z-29
pilot-2026-06-10,dateutil-rfc5545-timezone-interop,,claude-code,,anthropic,claude-haiku-4-5-20251001,failed,0,777274,0,0,0,6.806815000000002,2755586,/Users/milkoslavov/workspace/harness-bench/.harness-evals/runs/dateutil-rfc5545-timezone-interop-claude-code-2026-06-10T19-42-44-894Z-22
pilot-2026-06-10,dateutil-rfc5545-timezone-interop,,pi,,openai-codex,gpt-5.5,failed,0,584998,0,0,0,1.089609,709379,/Users/milkoslavov/workspace/harness-bench/.harness-evals/runs/dateutil-rfc5545-timezone-interop-pi-2026-06-10T19-55-42-180Z-23
pilot-2026-06-10,drizzle-orm-window-function-builders,,claude-code,,anthropic,claude-haiku-4-5-20251001,failed,0,1087476,0,0,0,6.878854799999998,4130132,/Users/milkoslavov/workspace/harness-bench/.harness-evals/runs/drizzle-orm-window-function-builders-claude-code-2026-06-10T18-04-13-548Z-2
pilot-2026-06-10,drizzle-orm-window-function-builders,,pi,,openai-codex,gpt-5.5,failed,0,586353,0,0,0,1.972339,1303887,/Users/milkoslavov/workspace/harness-bench/.harness-evals/runs/drizzle-orm-window-function-builders-pi-2026-06-10T18-09-26-386Z-3
